ID,Population,Treatment,Timepoint,Trial,Experiment_SVL,TopVelocity,Tb
1123,Alas,Hypoxia,T1,1,67.34,0.416666667,30.2
1123,Alas,Hypoxia,T1,2,67.34,1.388888889,30.2
1123,Alas,Hypoxia,T1,3,67.34,1.785714286,30.2
1123,Alas,Hypoxia,T1,4,67.34,1.25,30.2
1123,Alas,Hypoxia,T1,5,67.34,0.833333333,30.2
1123,Alas,Hypoxia,T1,6,67.34,0.892857143,30.2
1123,Alas,Hypoxia,T1,7,67.34,0.78125,30.2
1123,Alas,Hypoxia,T1,8,67.34,1.136363636,30.2
1123,Alas,Hypoxia,T1,9,67.34,0.78125,30.2
1123,Alas,Hypoxia,T1,10,67.34,0.735294118,30.2
1123,Alas,Hypoxia,T1,11,67.34,0.735294118,30.2
1123,Alas,Hypoxia,T1,12,67.34,0.657894737,30.2
1123,Alas,Hypoxia,T2,1,68.38,0.892857143,28.6
1123,Alas,Hypoxia,T2,2,68.38,0.892857143,28.6
1123,Alas,Hypoxia,T2,3,68.38,1.25,28.6
1123,Alas,Hypoxia,T2,4,68.38,0.961538462,28.6
1123,Alas,Hypoxia,T2,5,68.38,0.595238095,28.6
1123,Alas,Hypoxia,T2,6,68.38,0.657894737,28.6
1123,Alas,Hypoxia,T2,7,68.38,0.625,28.6
1123,Alas,Hypoxia,T2,8,68.38,1.041666667,28.6
1123,Alas,Hypoxia,T2,9,68.38,0.625,28.6
1123,Alas,Hypoxia,T2,10,68.38,0.694444444,28.6
1123,Alas,Hypoxia,T2,11,68.38,0.625,28.6
1123,Alas,Hypoxia,T2,12,68.38,0.78125,28.6
1123,Alas,Hypoxia,T3,1,70.2,0.568181818,29.8
1123,Alas,Hypoxia,T3,2,70.2,0.520833333,29.8
1123,Alas,Hypoxia,T3,3,70.2,0.390625,29.8
1123,Alas,Hypoxia,T3,4,70.2,0.833333333,29.8
1123,Alas,Hypoxia,T3,5,70.2,0.892857143,29.8
1123,Alas,Hypoxia,T3,6,70.2,0.568181818,29.8
1123,Alas,Hypoxia,T3,7,70.2,0.625,29.8
1123,Alas,Hypoxia,T3,8,70.2,0.520833333,29.8
1123,Alas,Hypoxia,T3,9,70.2,0.833333333,29.8
1123,Alas,Hypoxia,T3,10,70.2,0.657894737,29.8
1123,Alas,Hypoxia,T3,11,70.2,0.431034483,29.8
1123,Alas,Hypoxia,T3,12,70.2,0.657894737,29.8
255,Engomer,Normoxia,T1,1,59.3,2.5,31
255,Engomer,Normoxia,T1,2,59.3,1.041666667,31
255,Engomer,Normoxia,T1,3,59.3,1.5625,31
255,Engomer,Normoxia,T1,4,59.3,1.785714286,31
255,Engomer,Normoxia,T1,5,59.3,1.136363636,31
255,Engomer,Normoxia,T1,6,59.3,1.785714286,31
