Check List Number,Species name,Host Plant (book),Host Plant on iNat,Count,Broods,Date,Year,Chart Year,Notes,New_notes,Found in iNat,iNat link,Name change?,Exported?,Adult Export,Broods in iNat,Climax in iNat,1919First,1919Peak,1919Last,1922First,1922Peak,1922Last,,,,
780,Automeris io,"Aspen, birch, blackberry, cherry, clover, elm, hackberry, hibiscus, oak, poplar, sassafras, willow, winsteria, grasses (including corn, etc)",,21,1,June,1919,"Chart 1, 1919",,,Yes,https://www.inaturalist.org/taxa/82279-Automeris-io,,401416,402294,1,,21,23,24,28,28,28,,,,
780,Automeris io,,,1,,July 15,1922,"Chart 1, 1919",,,Yes,https://www.inaturalist.org/taxa/82279-Automeris-io,,,,,,,,,,,,,,,
954,Diacrisia virginica, ,"wide range of low-growing plants, including ground cover like grass and clover.",56,2,Climax at June 6,1919,"Chart 1, 1919","In 1919: 56; one brood with climax at June 6, and 6 stragglers, representing the second brood. The differing history in the two years is striking, but is repeated in the case of E. acraea, H. pseudargyrea, L. carneola and several others.
",,Yes,https://www.inaturalist.org/taxa/60839-Spilosoma-virginica,Spilosoma virginica,401502,402663,2,"32, 42",19,22;28,31,19,22;31,32,,,,"Note: Ciphris unipuncta, Authographa precationis, Epizeuxis amula, Plathypena scabra, Pleuroprucha insulsaria, Ellopia fiscellaria: cannot account for them being active later bc forbes stopped trapping in the middle of when they were active"
954,Diacrisia virginica,,,125,2,Climax at June 6 and August 5,1922,"Chart 1, 1922","The differing history in the two years is striking, but is repeated in the case of E. acraea, H. pseudargyrea, L. carneola and several others.",,Yes,https://www.inaturalist.org/taxa/60839-Spilosoma-virginica,Spilosoma virginica,,,,,,,,,,,,,,
957,Isia isabella, ,"generalist feeder, consuming many plant species, including herbs and trees",12,1,Climax about June 17,1919,"Chart 1, 1919","This is the first of a number of late spring species that flew earlier in 1922, but the difference is
not large.",,Yes,https://www.inaturalist.org/taxa/59675-Pyrrharctia-isabella,Pyrrharctia isabella,401510,402664,2,"26, 34",20,23,24,21,22,25,,,,
957,Isia isabella,,,13,1,Climax June 7,1922,"Chart 1, 1922","This is the first of a number of late spring species that flew earlier in 1922, but the difference is
not large.",,Yes,https://www.inaturalist.org/taxa/59675-Pyrrharctia-isabella,Pyrrharctia isabella,,,,,,,,,,,,,,
960,Estigmene acraea, ,"Host plants used by the caterpillar include dandelions, cabbage, cotton, walnuts, apple, tobacco, pea, potato, clovers, and maize.[3][4]

The moth does not seem to be affected by any type of pyrrolizidine alkaloid present in many plant families, including the borage, legume, dogbane, and orchid families, and the tribes Senecioneae and Eupatorieae of the aster family. It is insensitive to alkaloids due to its pyrrolizidine alkaloid-specific taste receptors. It can detoxify them and even convert them into sex pheromones",21,1,Climax June 17,1919,"Chart 1, 1919",,,Yes,https://www.inaturalist.org/taxa/121612-Estigmene-acrea,,401507,402684,2,"22, 30",21,23; 31,31,20,21;32,34,,,,
1404,Feltia herilis,,"arvae feed on a wide variety of plants, including crops, forages, vegetables, forbs and herbs. Adults have been reported to feed on nectar, with one report on Liatris",16,1,,1919,"Chart 1, 1919",,,Yes,https://www.inaturalist.org/taxa/147309-Feltia-herilis,,101508,402685,1,34,20,34,35,27,33,35,,,,
1404,Feltia herilis,,,92,1,Climax August 23,1922,"Chart 1, 1922","One well marked brood, with climax August 23, and a small early flight with F. subgothica.",,Yes,https://www.inaturalist.org/taxa/147309-Feltia-herilis,,,,,,,,,,,,,,,
1430,Noctua baja,,,70,1,August,1919,"Chart 2, 1919 and 1922",The damp sumrner seems to have been favorable and to have brought it out of aestivation a week early in 1922.,,Yes,https://www.inaturalist.org/taxa/1525735-Trichopolia-incincta,Trichopolia incincta,no observations,,,,33,34,35,31,33,35,,,,
1430,Noctua baja,,,,,,1922,"Chart 2, 1919 and 1922",,,No,,,,,,,,,,,,,,,,
1754,Polia (M.) lorea,,,55,1,June,1919,"Chart 2, 1919 and 1922",The different flight curves for the two years have no obvious meaning.,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=205234,Lacinipolia lorea,501525,402687,1,28,22,25,25,23,24,27,,,,
1754,Polia (M.) lorea,,,,,,1922,"Chart 2, 1919 and 1922",,,No,,,,,,,,,,,,,,,,
1842,Eriopyga vecors,,,11,2,,1919,"Chart 2, 1919 and 1922","The two later June specimens were of the well marked large form that formed the summer
brood in 1922.",,Yes?,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=143094,Pseudorthodes vecors???,401512,402688,2,"22, 29",22,33,34,19,32,33,,,,
1842,Eriopyga vecors,,,31,2,,1922,"Chart 2 , 1919 and 1922","two broods, and early stragglers of the autumn form. The summer brood is much larger than spring and fall specimens. This species has been bred by Mr. Wehrle, and is a cutworm in habits. Its life history should be interesting.",,No,,,,,,,,,,,,,,,,
1878,Morrisonia confusa,,,28,1,May,1919,"Chart 2, 1919 and 1922",,,Yes,https://www.inaturalist.org/taxa/176925-Morrisonia-confusa,,401514,402690,1,,19,20,21,18,19,20,,,,
1878,Morrisonia confusa,,,,,,1922,"Chart 2, 1919 and 1922",,,Yes,https://www.inaturalist.org/taxa/176925-Morrisonia-confusa,,,,,,,,,,,,,,,
1919,Orthosia hibisci, ,"larvae feed on various deciduous trees, including basswood, birch, ironwood, oak, poplar, sweet gale, and wild black cherry.",17,1,Climax on May 4,1919,"Chart 2, 1919 and 1922",One flight,,Yes,https://www.inaturalist.org/taxa/226646-Orthosia-hibisci,,401516,402692,1,,18,18,20,17,17,18,,"NOTE: occurs iin iNat earlier than forbes waslighttrapping, exclude pre week 17",,
1919,Orthosia hibisci,,,19,,Climax April 25,1922,"Chart 2, 1919 and 1922",The difference in the two years may not be significant as in 1922 the trap was not running efficiently in April,,Yes,https://www.inaturalist.org/taxa/226646-Orthosia-hibisci,,,,,,,,,,,,,,,
1927,Sideridis normani,,,24,1,Climax May 22,1919,"chart 2, 1919 and 1922",,,Yes?,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=217769,Crocigrapha normani ???,401517,402694,1,,18,20,21,17,19,19,,,,
1927,Sideridis normani,,,3,,,1922,"chart 2, 1919 and 1922",,,No,,,,,,,,,,,,,,,,
