six_pack,day_17
82_1,30.5
82_2,37.5
82_3,6.8
82_4,21.0
85_1,34.2
85_2,42.5
85_3,33.5
85_4,33.2
85_5,29.6
85_6,32.1
141_1,24.9
141_2,12.0
141_3,8.7
141_4,7.5
141_5,8.8
141_6,28.2
134_1,32.1
134_2,37.9
134_3,72.7
134_4,47.9
134_5,24.8
134_6,36.8
91_1,58.7
91_2,7.3
91_3,16.9
91_4,22.2
91_5,35.1
91_6,12.5
70_1,10.3
70_2,26.3
70_3,6.3
70_4,4.7
70_5,14.7
70_6,33.1
112_1,37.8
112_2,52.3
112_3,64.0
112_4,4.3
112_5,13.1
112_6,30.6
63_1,14.2
63_2,35.4
63_3,13.9
63_4,41.1
71_1,8.8
71_2,4.2
71_3,10.8
71_4,10.7
71_5,55.3
71_6,11.1
139_1,40.0
139_2,63.7
139_3,16.2
139_4,50.6
139_5,33.9
139_6,55.5
4_1,46.0
4_2,4.9
4_3,33.6
4_4,41.8
4_5,8.0
4_6,33.6
66_1,25.8
66_2,8.3
66_3,18.0
66_4,20.7
66_5,46.0
66_6,9.2
26_1,22.6
26_2,18.6
26_3,9.0
26_4,40.0
26_5,19.4
26_6,35.3
76_1,8.1
76_2,19.2
76_3,28.5
76_4,38.1
76_5,44.2
76_6,12.6
48_1,34.6
48_2,42.5
48_3,17.7
48_5,35.5
48_6,26.1
129_1,25.4
129_2,59.1
129_3,62.6
129_4,30.1
31_1,14.9
31_2,13.9
31_3,32.7
31_4,12.7
31_5,31.0
31_6,3.1
64_1,31.8
64_2,48.0
64_3,19.7
64_4,9.4
64_5,46.6
64_6,52.9
32_1,24.2
32_2,23.7
32_3,10.0
32_4,7.1
32_5,57.6
32_6,18.2
14_1,19.5
14_2,5.5
14_3,1.1
14_4,20.7
14_5,37.2
14_6,16.0
9_1,47.5
9_2,5.2
9_3,30.7
9_4,15.4
9_5,12.9
9_6,3.4
148_1,19.4
148_2,44.7
148_3,65.0
148_4,7.8
59_1,10.8
59_2,9.4
59_3,28.9
59_4,19.0
34_1,20.9
34_2,21.4
34_3,22.5
34_4,40.3
34_5,12.9
34_6,14.2
68_1,72.2
68_2,22.0
68_3,19.7
68_4,34.1
68_5,53.7
68_6,57.1
6_1,29.5
6_2,16.8
6_3,6.3
6_4,51.0
6_5,11.0
6_6,18.0
61_1,8.9
61_2,49.0
61_3,15.9
61_4,17.2
61_5,34.2
61_6,3.9
72_1,34.1
72_2,29.1
72_3,17.2
72_4,23.8
72_5,33.0
72_6,49.5
8_1,13.8
8_2,57.5
8_3,33.3
8_4,9.1
8_5,17.0
8_6,8.5
132_1,31.3
132_2,5.1
132_3,7.3
132_4,21.9
132_5,33.0
132_6,21.1
121_1,62.2
121_2,13.1
121_3,53.0
121_4,37.5
121_5,62.0
121_6,3.8
102_1,9.2
102_2,5.0
102_3,9.3
102_4,46.2
102_5,26.6
102_6,7.0
109_1,8.4
109_2,4.0
109_3,6.0
109_4,16.2
109_5,35.8
109_6,48.5
81_1,45.3
81_2,17.8
81_3,33.0
81_4,34.9
81_5,29.7
117_1,14.5
117_2,39.1
117_3,56.4
117_4,10.8
117_5,51.3
117_6,28.0
93_1,6.5
93_2,22.4
93_3,19.2
93_4,2.8
93_5,7.4
93_6,47.5
2_1,77.5
2_2,19.3
2_3,15.5
2_4,32.0
2_5,14.2
2_6,8.8
114_1,7.7
114_2,4.5
114_3,11.9
114_4,34.1
114_5,9.2
114_6,3.8
65_1,21.6
65_2,10.9
65_3,14.0
65_4,4.8
65_5,18.8
65_6,10.8
108_1,13.4
108_2,31.8
108_3,48.3
108_4,7.8
108_5,34.2
108_6,38.0
133_1,40.1
133_2,61.0
133_3,47.8
133_4,42.1
133_5,48.1
133_6,52.2
5_1,42.7
5_2,15.9
5_3,4.6
5_4,11.9
5_5,13.2
5_6,27.4
92_1,10.4
92_2,6.9
92_3,16.8
92_4,8.5
92_5,4.0
92_6,29.6
54_1,19.6
54_2,10.9
54_3,14.1
54_4,17.9
54_5,49.4
54_6,8.8
3_1,4.9
3_2,30.5
3_3,18.3
3_4,10.2
3_5,34.3
3_6,40.8
19_1,18.5
19_2,3.0
19_3,8.6
19_4,43.2
19_5,16.4
19_6,30.9
45_1,9.2
45_2,13.5
45_3,38.2
45_4,68.7
45_5,5.3
45_6,7.5
12_1,9.9
12_2,26.1
12_3,3.0
12_4,18.4
12_5,22.3
12_6,17.2
58_1,8.5
58_2,6.3
58_3,13.1
58_4,7.1
58_5,14.0
58_6,29.1
95_1,24.4
95_2,5.1
95_3,29.4
95_4,26.2
95_5,62.8
52_1,31.0
52_2,15.7
52_3,7.9
52_4,7.5
52_5,45.0
52_6,19.5
97_1,21.7
97_2,16.8
97_3,2.4
97_4,46.8
97_5,13.0
97_6,3.8
52_1,6.6
52_2,43.9
52_3,3.9
52_4,15.9
52_5,83.2
52_6,5.5
97_1,20.9
97_2,9.8
97_3,32.4
97_4,47.6
97_5,61.4
97_6,3.5
39_1,18.5
39_2,14.3
39_3,7.9
39_4,6.2
