tray_id,day_4
1_1,
1_2,1.686
1_3,
1_4,
1_5,
1_6,
1_7,3.77
1_8,
1_9,1.073
1_10,
1_11,
1_12,
1_13,
1_14,
1_15,1.723
1_16,
1_17,
1_18,2.646
1_19,2.589
1_20,1.787
1_21,
1_22,
1_23,1.785
1_24,1.427
1_25,
1_26,2.878
1_27,3.057
1_28,
1_29,
1_30,
1_31,
1_32,
1_33,2.947
1_34,
1_35,
1_36,1.482
1_37,1.389
1_38,
1_39,
1_40,3.27
1_41,
1_42,
1_43,
1_44,
1_45,
1_46,
1_47,
1_48,1.691
1_49,
1_50,
1_51,
1_52,2.199
1_53,
1_54,
1_55,
1_56,1.771
1_57,
1_58,1.892
1_59,
1_60,
1_61,0.978
1_62,
1_63,1.723
1_64,
1_65,2.112
1_66,
1_67,
1_68,
1_69,
1_70,
1_71,
1_72,
1_73,0.838
1_74,2.499
1_75,3.749
1_76,
1_77,
1_78,
1_79,2.999
1_80,0.967
2_1,
2_2,
2_3,2.246
2_4,
2_5,
2_6,
2_7,2.269
2_8,
2_9,
2_10,1.095
2_11,
2_12,
2_13,2.494
2_14,1.315
2_15,
2_16,
2_17,1.481
2_18,1.735
2_19,1.536
2_20,
2_21,
2_22,2.438
2_23,0.65
2_24,
2_25,
2_26,2.343
2_27,2.915
2_28,
2_29,
2_30,1.881
2_31,
2_32,
2_33,1.261
2_34,1.781
2_35,
2_36,
2_37,
2_38,1.623
2_39,
2_40,
2_41,1.737
2_42,
2_43,
2_44,
2_45,
2_46,1.834
2_47,
2_48,
2_49,
2_50,
2_51,3.385
2_52,
2_53,
2_54,2.225
2_55,2.596
2_56,
2_57,
2_58,2.528
2_59,
2_60,
2_61,2.057
2_62,
2_63,
2_64,1.724
2_65,
2_66,1.297
2_67,
2_68,
2_69,1.327
2_70,
2_71,
2_72,
2_73,1.784
2_74,1.827
2_75,2.272
2_76,
2_77,
2_78,2.829
2_79,
2_80,
3_1,
3_2,
3_3,
3_4,
3_5,
3_6,
3_7,1.405
3_8,
3_9,
3_10,
3_11,
3_12,
3_13,
3_14,
3_15,
3_16,
3_17,
3_18,
3_19,
3_20,
3_21,1.672
3_22,1.527
3_23,
3_24,1.17
3_25,
3_26,
3_27,2.246
3_28,
3_29,
3_30,
3_31,
3_32,
3_33,
3_34,
3_35,2.227
3_36,
3_37,
3_38,
3_39,
3_40,
3_41,
3_42,
3_43,
3_44,
3_45,
3_46,
3_47,
3_48,
3_49,
3_50,
3_51,
3_52,
3_53,
3_54,
3_55,
3_56,1.717
3_57,1.657
3_58,2.051
3_59,
3_60,
3_61,
3_62,
3_63,
3_64,
3_65,
3_66,
3_67,
3_68,
3_69,
3_70,
3_71,
3_72,
3_73,
3_74,
3_75,
3_76,
3_77,
3_78,
3_79,
3_80,
4_1,
4_2,
4_3,
4_4,
4_5,
4_6,
4_7,
4_8,1.654
4_9,
4_10,
4_11,
4_12,
4_13,
4_14,
4_15,2.103
4_16,
4_17,1.161
4_18,1.742
4_19,
4_20,
4_21,
4_22,
4_23,
4_24,
4_25,
4_26,
4_27,1.516
4_28,
4_29,
4_30,
4_31,
4_32,1.696
4_33,1.616
4_34,1.415
4_35,1.022
4_36,
4_37,
4_38,
4_39,1.585
4_40,
4_41,1.031
4_42,1.221
4_43,
4_44,
4_45,
4_46,
4_47,
4_48,
4_49,
4_50,
4_51,
4_52,
4_53,
4_54,0.976
4_55,
4_56,
4_57,
4_58,1.406
4_59,
4_60,
4_61,
4_62,
4_63,
4_64,
4_65,1.681
4_66,
4_67,
4_68,
4_69,
4_70,1.377
4_71,
4_72,1.857
4_73,
