tray_id,six_pack,germ_day,cross,line,notes
1_1,1_1,4,B12.10xB12.1,F2,
1_2,1_2,3,B12.10xB12.1,F2,
1_3,1_3,5,B12.10xB12.1,F2,
1_4,1_4,4,B12.10xB12.1,F2,
1_5,1_5,4,B12.10xB12.1,F2,
1_6,1_6,7,B12.10xB12.1,F2,
1_7,2_1,3,B12.10xB12.1,F2,
1_8,,,B12.10xB12.1,F2,
1_9,2_2,4,B12.10xB12.1,F2,
1_10,2_3,6,B12.10xB12.1,F2,
1_11,2_4,5,B12.10xB12.1,F2,
1_12,2_5,6,B12.10xB12.1,F2,
1_13,2_6,5,B12.10xB12.1,F2,
1_14,3_1,7,B12.10xB12.1,F2,
1_15,3_2,3,B12.10xB12.1,F2,
1_16,3_3,6,B12.10xB12.1,F2,
1_17,3_4,6,B12.10xB12.1,F2,
1_18,3_5,3,B12.10xB12.1,F2,
1_19,3_6,3,B12.10xB12.1,F2,
1_20,4_1,3,B12.10xB12.1,F2,
1_21,,,B12.10xB12.1,F2,
1_22,4_2,7,B12.10xB12.1,F2,
1_23,4_3,3,B12.10xB12.1,F2,
1_24,4_4,3,B12.10xB12.1,F2,
1_25,4_5,6,B12.10xB12.1,F2,
1_26,4_6,3,B12.10xB12.1,F2,
1_27,5_1,3,B12.10xB12.1,F2,
1_28,5_2,6,B12.10xB12.1,F2,
1_29,5_3,9,B12.10xB12.1,F2,
1_30,,,B12.10xB12.1,F2,
1_31,5_4,6,B12.10xB12.1,F2,
1_32,5_5,6,B12.10xB12.1,F2,
1_33,5_6,3,B12.10xB12.1,F2,
1_34,,,B12.10xB12.1,F2,
1_35,,,B12.10xB12.1,F2,
1_36,6_1,3,B12.10xB12.1,F2,
1_37,6_2,3,B12.10xB12.1,F2,
1_38,,,B12.10xB12.1,F2,
1_39,6_3,7,B12.10xB12.1,F2,
1_40,6_4,3,B12.10xB12.1,F2,
1_41,6_5,7,B12.10xB12.1,F2,
1_42,,,B12.10xB12.1,F2,
1_43,6_6,5,B12.10xB12.1,F2,
1_44,,,B12.10xB12.1,F2,
1_45,7_1,4,B12.10xB12.1,F2,
1_46,,,B12.10xB12.1,F2,
1_47,,,B12.10xB12.1,F2,
1_48,7_2,3,B12.10xB12.1,F2,
1_49,7_3,7,B12.10xB12.1,F2,
1_50,,,B12.10xB12.1,F2,
1_51,,,B12.10xB12.1,F2,
1_52,7_4,3,B12.10xB12.1,F2,
1_53,7_5,5,B12.10xB12.1,F2,
1_54,7_6,6,B12.10xB12.1,F2,
1_55,8_1,7,B12.10xB12.1,F2,
1_56,8_2,3,B12.10xB12.1,F2,
1_57,,,B12.10xB12.1,F2,
1_58,8_3,3,B12.10xB12.1,F2,
1_59,,,B12.10xB12.1,F2,
1_60,8_4,7,B12.10xB12.1,F2,
1_61,8_5,3,B12.10xB12.1,F2,
1_62,8_6,7,B12.10xB12.1,F2,
1_63,9_1,3,B12.10xB12.1,F2,
1_64,9_2,3,B12.10xB12.1,F2,
1_65,,,B12.10xB12.1,F2,
1_66,9_3,3,B12.10xB12.1,F2,
